"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster"
"82",548,"Point",1,"Sangat Rendah",0.069316,0.11326,0.088981,0.077067,0.051172,0.362013,0.180624,0.080045,0.001618,1
"83",581,"Point",1,"Sangat Rendah",0.073378,0.115606,0.092038,0.086325,0.056946,0.394128,0.23573,0.109492,0.001808,1
"84",941,"Point",1,"Sangat Rendah",0.07369,0.111184,0.086851,0.077031,0.046539,0.358553,0.167173,0.070278,0.001783,1
"85",814,"Point",1,"Sangat Rendah",0.07564,0.111151,0.087943,0.073158,0.055965,0.251864,0.132137,0.069846,0.001395,1
"86",844,"Point",1,"Sangat Rendah",0.076578,0.115867,0.092959,0.083937,0.066039,0.310678,0.188038,0.100119,0.001574,1
"87",555,"Point",1,"Sangat Rendah",0.076599,0.11409,0.090772,0.083408,0.053129,0.381258,0.213355,0.097839,0.002001,1
"88",750,"Point",1,"Sangat Rendah",0.076914,0.115406,0.093045,0.078195,0.058345,0.280153,0.165092,0.086105,0.0018,1
"89",564,"Point",1,"Sangat Rendah",0.077507,0.123302,0.10416,0.09123,0.098962,0.221486,0.276644,0.185646,0.001696,1
"90",725,"Point",1,"Sangat Rendah",0.078299,0.124976,0.105238,0.09643,0.096381,0.248771,0.227004,0.13892,0.002115,1
"91",689,"Point",1,"Sangat Rendah",0.080084,0.1203,0.099099,0.091129,0.085768,0.280352,0.204741,0.116314,0.002006,1
"92",828,"Point",1,"Sangat Rendah",0.081425,0.113043,0.090551,0.078368,0.058903,0.303942,0.191048,0.096192,0.001594,1
"93",580,"Point",1,"Sangat Rendah",0.082212,0.118919,0.097276,0.088402,0.074043,0.330091,0.237095,0.127004,0.00174,1
"94",696,"Point",1,"Sangat Rendah",0.084476,0.114778,0.090276,0.082323,0.048099,0.393373,0.186219,0.076576,0.002112,1
"95",652,"Point",1,"Sangat Rendah",0.085467,0.115316,0.092572,0.081744,0.061221,0.310389,0.214525,0.106313,0.001571,1
"96",779,"Point",1,"Sangat Rendah",0.085661,0.118591,0.09655,0.081499,0.066845,0.29961,0.211566,0.119951,0.001469,1
"97",765,"Point",1,"Sangat Rendah",0.089011,0.119432,0.097058,0.084005,0.076646,0.26056,0.22552,0.132861,0.001231,1
"98",740,"Point",1,"Sangat Rendah",0.090133,0.115325,0.092386,0.085162,0.05821,0.372656,0.226594,0.103754,0.001606,1
"99",550,"Point",1,"Sangat Rendah",0.090635,0.115445,0.091816,0.081848,0.054006,0.363066,0.211394,0.095411,0.002164,1
"100",751,"Point",1,"Sangat Rendah",0.091765,0.116536,0.09452,0.080952,0.064955,0.281396,0.207691,0.10912,0.001702,1
"101",756,"Point",1,"Sangat Rendah",0.092853,0.121803,0.100146,0.084113,0.079772,0.227233,0.222837,0.143346,0.00176,1
"102",777,"Point",1,"Sangat Rendah",0.094422,0.120943,0.099653,0.082732,0.083755,0.183585,0.23746,0.166434,0.001326,1
"103",586,"Point",1,"Sangat Rendah",0.095299,0.115933,0.092729,0.086472,0.057432,0.420098,0.229103,0.106495,0.001472,1
"104",768,"Point",1,"Sangat Rendah",0.09602,0.120323,0.099348,0.083394,0.08404,0.199667,0.245971,0.169446,0.001741,1
"105",286,"Point",1,"Sangat Rendah",0.097344,0.115523,0.090557,0.075767,0.045476,0.342996,0.170137,0.069432,0.002044,1
"106",631,"Point",1,"Sangat Rendah",0.097817,0.116756,0.094421,0.081093,0.065487,0.299255,0.252669,0.135005,0.001631,1
"107",855,"Point",1,"Sangat Rendah",0.098062,0.13156,0.111076,0.094709,0.094209,0.21355,0.204267,0.154525,0.001311,1
"108",588,"Point",2,"Sangat Rendah",0.100439,0.117445,0.093901,0.082952,0.05926,0.352132,0.225574,0.107891,0.001534,1
"109",731,"Point",2,"Sangat Rendah",0.102975,0.116308,0.093585,0.07963,0.059944,0.325498,0.19559,0.092798,0.002,1
"110",826,"Point",2,"Sangat Rendah",0.104049,0.116687,0.096179,0.082291,0.069857,0.257215,0.17437,0.100636,0.001655,1
"111",603,"Point",2,"Sangat Rendah",0.105414,0.1165,0.093008,0.076276,0.059466,0.256063,0.206288,0.10532,0.001593,1
"112",571,"Point",2,"Sangat Rendah",0.106988,0.116678,0.094159,0.079623,0.065628,0.265932,0.21652,0.120245,0.00175,1
"113",583,"Point",2,"Sangat Rendah",0.107006,0.115419,0.091798,0.085361,0.055042,0.42365,0.226386,0.102862,0.00193,1
"114",630,"Point",2,"Sangat Rendah",0.108233,0.120739,0.098625,0.085526,0.080725,0.266216,0.280635,0.163683,0.001909,1
"115",762,"Point",2,"Sangat Rendah",0.110814,0.121885,0.100463,0.086668,0.075677,0.286192,0.204358,0.113794,0.001637,1
"116",531,"Point",2,"Sangat Rendah",0.111096,0.114831,0.091824,0.083808,0.054535,0.363345,0.213732,0.098674,0.001733,1
"117",553,"Point",2,"Sangat Rendah",0.112916,0.114773,0.091258,0.083159,0.052597,0.391058,0.216675,0.099176,0.001617,1
"118",565,"Point",2,"Sangat Rendah",0.113588,0.123231,0.102949,0.091102,0.09522,0.239534,0.270526,0.173969,0.001371,1
"119",541,"Point",2,"Sangat Rendah",0.114021,0.112436,0.088529,0.075807,0.04713,0.348797,0.182642,0.079184,0.001827,1
"120",690,"Point",2,"Sangat Rendah",0.116106,0.12182,0.10081,0.09302,0.086864,0.277927,0.217438,0.126835,0.001734,1
"121",755,"Point",2,"Sangat Rendah",0.116549,0.120618,0.098037,0.08245,0.078731,0.220558,0.214009,0.131027,0.001984,1
