"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster","kelas"
"126",135,"Point",3,"Rendah",0.265123,0.111669,0.087071,0.075903,0.043222,0.383697,0.159204,0.0641,0.001667,1,3
"127",699,"Point",3,"Rendah",0.233634,0.1141,0.089967,0.078281,0.046607,0.380751,0.179531,0.070846,0.001805,1,3
"128",639,"Point",3,"Rendah",0.294523,0.115853,0.092283,0.078947,0.058656,0.315906,0.189686,0.09018,0.001902,1,3
"129",300,"Point",3,"Rendah",0.21526,0.120077,0.094809,0.076653,0.050916,0.302447,0.171741,0.077211,0.002621,1,3
"130",842,"Point",3,"Rendah",0.221596,0.114204,0.091742,0.080565,0.061443,0.299308,0.180442,0.094535,0.001632,1,3
"131",285,"Point",3,"Rendah",0.26707,0.11517,0.090198,0.074637,0.044825,0.347433,0.168174,0.06811,0.00174,1,3
"132",570,"Point",3,"Rendah",0.23271,0.116128,0.092527,0.077618,0.057477,0.305015,0.181297,0.091847,0.001862,1,3
"133",682,"Point",3,"Rendah",0.209723,0.115232,0.090789,0.076997,0.059014,0.309274,0.169353,0.084749,0.000939,1,3
"134",795,"Point",3,"Rendah",0.247639,0.109945,0.085764,0.071101,0.046875,0.30976,0.154796,0.069092,0.001774,1,3
"135",700,"Point",3,"Rendah",0.292663,0.113208,0.089178,0.079026,0.047491,0.359492,0.175854,0.076133,0.002241,1,3
"136",851,"Point",3,"Rendah",0.262462,0.110737,0.086726,0.069848,0.046324,0.289331,0.129749,0.05978,0.001554,1,3
"137",701,"Point",3,"Rendah",0.269248,0.114427,0.089891,0.076042,0.046414,0.379434,0.170544,0.068414,0.002157,1,3
"138",610,"Point",3,"Rendah",0.206555,0.116599,0.094043,0.080137,0.059316,0.338231,0.218288,0.106412,0.001901,1,3
"139",753,"Point",3,"Rendah",0.20938,0.120866,0.098588,0.08296,0.07212,0.261268,0.209056,0.122501,0.001766,1,3
"140",342,"Point",3,"Rendah",0.205666,0.119776,0.095156,0.079903,0.058643,0.311399,0.190127,0.089678,0.00181,1,3
"141",703,"Point",3,"Rendah",0.236856,0.114851,0.090146,0.077482,0.046833,0.38437,0.179413,0.072653,0.001866,1,3
"142",465,"Point",3,"Rendah",0.248239,0.12053,0.097219,0.081481,0.05997,0.286265,0.158684,0.086134,0.002117,1,3
"143",790,"Point",3,"Rendah",0.287073,0.110392,0.086131,0.072211,0.046419,0.294022,0.139589,0.061768,0.001301,1,3
"144",792,"Point",3,"Rendah",0.213916,0.108636,0.083919,0.068498,0.045234,0.288159,0.137776,0.059685,0.001796,1,3
"145",99,"Point",3,"Rendah",0.263586,0.114871,0.089932,0.074998,0.045992,0.384335,0.160758,0.063976,0.001718,1,3
