"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7"
"129",0.292,0.273,0.486,0.163,0.645,0.464,0.227
"130",0.222,0.304,0.498,0.359,0.435,0.429,0.333
"131",0.266,0.204,0.288,0.142,0.532,0.266,0.173
"132",0.249,0.454,0.522,0.337,0.388,0.321,0.285
"133",0.219,0.435,0.567,0.472,0.428,0.518,0.424
"134",0.264,0.254,0.353,0.13,0.743,0.332,0.158
"135",0.21,0.262,0.38,0.203,0.522,0.398,0.243
"136",0.265,0.318,0.561,0.302,0.731,0.57,0.342
"137",0.263,0.166,0.22,0.135,0.399,0.178,0.134
"138",0.204,0.257,0.399,0.15,0.649,0.389,0.198
"139",0.283,0.173,0.236,0.091,0.485,0.303,0.166
"140",0.224,0.41,0.539,0.433,0.405,0.521,0.426
"141",0.3,0.158,0.151,0.071,0.444,0.223,0.122
"142",0.205,0.418,0.521,0.486,0.301,0.551,0.471
"143",0.234,0.279,0.31,0.271,0.474,0.44,0.355
"144",0.298,0.209,0.263,0.093,0.608,0.363,0.198
"145",0.287,0.441,0.561,0.436,0.474,0.51,0.383
"146",0.224,0.204,0.305,0.114,0.5,0.36,0.2
"147",0.237,0.26,0.418,0.142,0.744,0.424,0.208
"148",0.276,0.295,0.397,0.153,0.635,0.396,0.199
"149",0.216,0.388,0.396,0.203,0.447,0.386,0.234
"150",0.295,0.318,0.456,0.317,0.495,0.475,0.308
"151",0.312,0.349,0.387,0.164,0.577,0.383,0.204
"152",0.362,0.12,0.213,0.157,0.317,0.179,0.124
"153",0.325,0.351,0.423,0.155,0.638,0.362,0.184
"154",0.37,0.292,0.463,0.132,0.619,0.371,0.191
"155",0.345,0.2,0.338,0.146,0.561,0.383,0.218
"156",0.319,0.272,0.35,0.231,0.435,0.277,0.202
"157",0.302,0.267,0.299,0.111,0.517,0.318,0.158
"158",0.381,0.466,0.621,0.459,0.405,0.565,0.405
"159",0.354,0.221,0.323,0.12,0.625,0.326,0.173
"160",0.304,0.21,0.333,0.116,0.708,0.344,0.165
"161",0.395,0.094,0.219,0.085,0.403,0.166,0.102
"162",0.338,0.274,0.466,0.242,0.724,0.498,0.297
"163",0.342,0.28,0.523,0.166,0.723,0.437,0.205
"164",0.327,0.037,0.097,0.03,0.395,0.137,0.067
"165",0.343,0.048,0.145,0.037,0.49,0.206,0.108
"166",0.371,0.17,0.241,0.113,0.555,0.299,0.154
"167",0.392,0.327,0.413,0.264,0.625,0.458,0.265
"168",0.401,0.23,0.326,0.12,0.737,0.306,0.151
"169",0.316,0.245,0.382,0.14,0.553,0.368,0.193
"170",0.315,0.171,0.307,0.153,0.527,0.378,0.224
"171",0.342,0.215,0.416,0.145,0.698,0.438,0.219
"172",0.376,0.27,0.318,0.148,0.466,0.308,0.162
"173",0.351,0.195,0.126,0.069,0.339,0.082,0.043
"174",0.314,0.041,0.06,0.001,0.45,0.196,0.101
"175",0.357,0.264,0.458,0.187,0.544,0.417,0.225
"176",0.367,0.241,0.389,0.137,0.736,0.378,0.18
"177",0.327,0.129,0.262,0.147,0.358,0.147,0.107
"178",0.359,0.355,0.368,0.187,0.524,0.371,0.208
"179",0.34,0.226,0.333,0.158,0.667,0.364,0.188
"180",0.337,0.101,0.245,0.117,0.484,0.238,0.134
"181",0.375,0.262,0.445,0.145,0.704,0.382,0.191
"182",0.394,0.201,0.304,0.096,0.695,0.354,0.173
"183",0.365,0.139,0.279,0.097,0.6,0.341,0.18
"184",0.302,0.207,0.353,0.106,0.755,0.376,0.184
"185",0.387,0.246,0.332,0.137,0.613,0.381,0.193
"186",0.364,0.27,0.321,0.107,0.536,0.322,0.163
"187",0.332,0.298,0.387,0.244,0.482,0.496,0.327
"188",0.317,0.073,0.135,0.059,0.479,0.125,0.057
"189",0.32,0.257,0.401,0.143,0.807,0.382,0.179
"190",0.327,0.261,0.354,0.216,0.453,0.439,0.271
"191",0.311,0.272,0.373,0.202,0.624,0.436,0.25
"192",0.377,0.139,0.249,0.119,0.443,0.248,0.151
